"filename", "language", "HTML", "JavaScript", "CSS", "XML", "JavaScript JSX", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\socket.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\HP\Desktop\jj\e-commerce-ui\test.css", "CSS", 0, 0, 50, 0, 0, 0, 0, 3, 9, 62
"c:\Users\HP\Desktop\jj\e-commerce-ui\test.html", "HTML", 41, 0, 0, 0, 0, 0, 0, 0, 7, 48
"c:\Users\HP\Desktop\jj\e-commerce-ui\undraw_winners_re_wr1l.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\README.md", "Markdown", 0, 0, 0, 0, 0, 0, -38, 0, -33, -71
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\data.json", "JSON", 0, 0, 0, 0, 0, -73, 0, 0, 0, -73
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\email.css", "CSS", 0, 0, -67, 0, 0, 0, 0, -2, -13, -82
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\email.html", "HTML", -61, 0, 0, 0, 0, 0, 0, -2, -13, -76
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\exer.js", "JavaScript", 0, -4, 0, 0, 0, 0, 0, -21, -7, -32
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\generateEmail.js", "JavaScript", 0, -204, 0, 0, 0, 0, 0, 0, -22, -226
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\hh.html", "HTML", -135, 0, 0, 0, 0, 0, 0, -1, -16, -152
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\libs\authenticate.js", "JavaScript", 0, -39, 0, 0, 0, 0, 0, 0, -4, -43
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\libs\socket.js", "JavaScript", 0, -5, 0, 0, 0, 0, 0, 0, -2, -7
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\package-lock.json", "JSON", 0, 0, 0, 0, 0, -29372, 0, 0, -1, -29373
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\package.json", "JSON", 0, 0, 0, 0, 0, -45, 0, 0, -1, -46
"c:\Users\HP\Documents\e-commerce\e-commerce-ui\public\imgs\undraw_successful_purchase_re_mpig.svg", "XML", 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
